# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 92, 2026061800, 03, FNV3, 204, 304N, 1286E,  55,  979, XX,  34, NEQ,  108,  117,   90,   87,     ,     ,  46,
WP, 92, 2026061800, 03, FNV3, 204, 304N, 1286E,  55,  979, XX,  50, NEQ,   34,   35,   27,   28,     ,     ,  46,
WP, 92, 2026061800, 03, FNV3, 204, 304N, 1286E,  55,  979, XX,  64, NEQ,   13,   12,   10,   10,     ,     ,  46,
WP, 92, 2026061800, 03, FNV3, 210, 315N, 1295E,  53,  981, XX,  34, NEQ,   96,  101,   72,   74,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 210, 315N, 1295E,  53,  981, XX,  50, NEQ,   28,   28,   21,   22,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 210, 315N, 1295E,  53,  981, XX,  64, NEQ,    9,    9,    8,    8,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 216, 331N, 1310E,  49,  984, XX,  34, NEQ,   78,   78,   57,   57,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 216, 331N, 1310E,  49,  984, XX,  50, NEQ,   20,   23,   15,   16,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 216, 331N, 1310E,  49,  984, XX,  64, NEQ,    7,    7,    5,    6,     ,     ,  42,
WP, 92, 2026061800, 03, FNV3, 222, 346N, 1325E,  45,  983, XX,  34, NEQ,   74,   72,   54,   53,     ,     ,  41,
WP, 92, 2026061800, 03, FNV3, 222, 346N, 1325E,  45,  983, XX,  50, NEQ,   16,   14,   10,   11,     ,     ,  41,
WP, 92, 2026061800, 03, FNV3, 222, 346N, 1325E,  45,  983, XX,  64, NEQ,    6,    7,    5,    5,     ,     ,  41,
