# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 28, 2026032300, 03, FNV3,  42, 305S, 1632E,  40,  993, XX,  34, NEQ,   20,   37,   18,    9,     ,     ,  48,
SH, 28, 2026032300, 03, FNV3,  42, 305S, 1632E,  40,  993, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  48,
SH, 28, 2026032300, 03, FNV3,  48, 320S, 1630E,  40,  992, XX,  34, NEQ,   24,   36,   23,   12,     ,     ,  53,
SH, 28, 2026032300, 03, FNV3,  48, 320S, 1630E,  40,  992, XX,  50, NEQ,    0,    2,    1,    0,     ,     ,  53,
SH, 28, 2026032300, 03, FNV3,  54, 335S, 1631E,  40,  990, XX,  34, NEQ,   43,   45,   30,   24,     ,     ,  62,
SH, 28, 2026032300, 03, FNV3,  54, 335S, 1631E,  40,  990, XX,  50, NEQ,    0,    2,    1,    0,     ,     ,  62,
SH, 28, 2026032300, 03, FNV3,  60, 349S, 1635E,  41,  988, XX,  34, NEQ,   22,   26,   33,   10,     ,     ,  58,
SH, 28, 2026032300, 03, FNV3,  60, 349S, 1635E,  41,  988, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  58,
SH, 28, 2026032300, 03, FNV3,  66, 361S, 1643E,  37,  988, XX,  34, NEQ,   21,   17,   20,    8,     ,     ,  60,
SH, 28, 2026032300, 03, FNV3,  72, 374S, 1650E,  35,  987, XX,  34, NEQ,   30,   25,   10,   12,     ,     ,  60,
