# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 12, 2025090212, 03, FNV3,  30, 220N, 1124W,  45,  999, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  36, 226N, 1131W,  46,  998, XX,  34, NEQ,   38,   32,   22,   30,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  36, 226N, 1131W,  46,  998, XX,  50, NEQ,    6,    4,    3,    4,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  36, 226N, 1131W,  46,  998, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  42, 230N, 1137W,  43, 1000, XX,  34, NEQ,   35,   29,   20,   28,     ,     ,  35,
EP, 12, 2025090212, 03, FNV3,  42, 230N, 1137W,  43, 1000, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  35,
EP, 12, 2025090212, 03, FNV3,  48, 235N, 1141W,  44,  998, XX,  34, NEQ,   35,   29,   18,   27,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  48, 235N, 1141W,  44,  998, XX,  50, NEQ,    7,    6,    4,    5,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  48, 235N, 1141W,  44,  998, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  31,
EP, 12, 2025090212, 03, FNV3,  54, 239N, 1144W,  39, 1000, XX,  34, NEQ,   27,   22,   15,   21,     ,     ,  36,
EP, 12, 2025090212, 03, FNV3,  54, 239N, 1144W,  39, 1000, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  36,
EP, 12, 2025090212, 03, FNV3,  60, 242N, 1145W,  33, 1002, XX,  34, NEQ,   23,   20,   14,   18,     ,     ,  45,
EP, 12, 2025090212, 03, FNV3,  60, 242N, 1145W,  33, 1002, XX,  50, NEQ,    2,    2,    1,    2,     ,     ,  45,
EP, 12, 2025090212, 03, FNV3,  66, 245N, 1145W,  29, 1004, XX,  34, NEQ,   10,    9,    6,    8,     ,     ,  46,
EP, 12, 2025090212, 03, FNV3,  66, 245N, 1145W,  29, 1004, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  46,
EP, 12, 2025090212, 03, FNV3,  72, 247N, 1145W,  27, 1004, XX,  34, NEQ,    5,    4,    3,    4,     ,     ,  43,
EP, 12, 2025090212, 03, FNV3,  78, 250N, 1144W,  24, 1006, XX,  34, NEQ,    3,    3,    2,    3,     ,     ,  48,
EP, 12, 2025090212, 03, FNV3,  84, 250N, 1146W,  23, 1006, XX,  34, NEQ,    2,    2,    2,    2,     ,     ,  44,
EP, 12, 2025090212, 03, FNV3,  90, 249N, 1150W,  22, 1007, XX,  34, NEQ,    3,    3,    2,    3,     ,     ,  44,
EP, 12, 2025090212, 03, FNV3,  96, 249N, 1157W,  21, 1008, XX,  34, NEQ,    0,    1,    1,    1,     ,     ,  48,
EP, 12, 2025090212, 03, FNV3, 102, 247N, 1166W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    1,     ,     ,  46,
EP, 12, 2025090212, 03, FNV3, 108, 243N, 1178W,  20, 1009, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  40,
