# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2025090106, 03, FNV3, 204, 188N, 1552W,  42, 1003, XX,  50, NEQ,    5,    4,    3,    4,     ,     ,  35,
EP, 11, 2025090106, 03, FNV3, 204, 188N, 1552W,  42, 1003, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  35,
EP, 11, 2025090106, 03, FNV3, 210, 191N, 1564W,  38, 1004, XX,  34, NEQ,   29,   22,   15,   23,     ,     ,  36,
EP, 11, 2025090106, 03, FNV3, 210, 191N, 1564W,  38, 1004, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  36,
EP, 11, 2025090106, 03, FNV3, 210, 191N, 1564W,  38, 1004, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  36,
EP, 11, 2025090106, 03, FNV3, 216, 190N, 1579W,  36, 1005, XX,  34, NEQ,   17,   13,    8,   14,     ,     ,  38,
EP, 11, 2025090106, 03, FNV3, 216, 190N, 1579W,  36, 1005, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  38,
EP, 11, 2025090106, 03, FNV3, 222, 193N, 1593W,  35, 1005, XX,  34, NEQ,   11,    7,    4,    8,     ,     ,  41,
EP, 11, 2025090106, 03, FNV3, 222, 193N, 1593W,  35, 1005, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  41,
EP, 11, 2025090106, 03, FNV3, 222, 193N, 1593W,  35, 1005, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  41,
EP, 11, 2025090106, 03, FNV3, 228, 201N, 1607W,  34, 1006, XX,  34, NEQ,   13,    9,    6,   10,     ,     ,  44,
EP, 11, 2025090106, 03, FNV3, 228, 201N, 1607W,  34, 1006, XX,  50, NEQ,    2,    1,    1,    2,     ,     ,  44,
EP, 11, 2025090106, 03, FNV3, 234, 203N, 1620W,  34, 1006, XX,  34, NEQ,   12,    8,    5,    9,     ,     ,  39,
EP, 11, 2025090106, 03, FNV3, 234, 203N, 1620W,  34, 1006, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  39,
EP, 11, 2025090106, 03, FNV3, 240, 210N, 1632W,  33, 1007, XX,  34, NEQ,   11,    8,    5,    8,     ,     ,  41,
EP, 11, 2025090106, 03, FNV3, 240, 210N, 1632W,  33, 1007, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
EP, 11, 2025090106, 03, FNV3, 246, 215N, 1645W,  32, 1007, XX,  34, NEQ,    8,    5,    2,    6,     ,     ,  47,
EP, 11, 2025090106, 03, FNV3, 246, 215N, 1645W,  32, 1007, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  47,
