# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 17, 2026081906, 03, FNV3, 150, 247N, 1315E,  99,  948, XX,  64, NEQ,   56,   52,   43,   48,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 156, 251N, 1309E,  92,  952, XX,  34, NEQ,  184,  167,  146,  160,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 156, 251N, 1309E,  92,  952, XX,  50, NEQ,   92,   84,   71,   80,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 156, 251N, 1309E,  92,  952, XX,  64, NEQ,   48,   44,   36,   40,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 162, 255N, 1303E,  93,  951, XX,  34, NEQ,  189,  176,  155,  166,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 162, 255N, 1303E,  93,  951, XX,  50, NEQ,   95,   88,   74,   82,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 162, 255N, 1303E,  93,  951, XX,  64, NEQ,   50,   44,   37,   41,     ,     ,  25,
WP, 17, 2026081906, 03, FNV3, 168, 260N, 1298E,  89,  953, XX,  34, NEQ,  186,  176,  152,  162,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 168, 260N, 1298E,  89,  953, XX,  50, NEQ,   94,   88,   74,   81,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 168, 260N, 1298E,  89,  953, XX,  64, NEQ,   50,   46,   38,   42,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 174, 264N, 1294E,  88,  954, XX,  34, NEQ,  190,  177,  158,  168,     ,     ,  27,
WP, 17, 2026081906, 03, FNV3, 174, 264N, 1294E,  88,  954, XX,  50, NEQ,  100,   94,   80,   88,     ,     ,  27,
WP, 17, 2026081906, 03, FNV3, 174, 264N, 1294E,  88,  954, XX,  64, NEQ,   51,   46,   39,   43,     ,     ,  27,
WP, 17, 2026081906, 03, FNV3, 180, 269N, 1290E,  84,  956, XX,  34, NEQ,  175,  166,  145,  153,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 180, 269N, 1290E,  84,  956, XX,  50, NEQ,   81,   76,   64,   69,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 180, 269N, 1290E,  84,  956, XX,  64, NEQ,   38,   34,   29,   31,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 186, 273N, 1287E,  86,  955, XX,  34, NEQ,  166,  160,  143,  145,     ,     ,  22,
WP, 17, 2026081906, 03, FNV3, 186, 273N, 1287E,  86,  955, XX,  50, NEQ,   81,   79,   66,   71,     ,     ,  22,
WP, 17, 2026081906, 03, FNV3, 186, 273N, 1287E,  86,  955, XX,  64, NEQ,   42,   40,   32,   35,     ,     ,  22,
WP, 17, 2026081906, 03, FNV3, 192, 277N, 1284E,  82,  957, XX,  34, NEQ,  178,  174,  155,  156,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 192, 277N, 1284E,  82,  957, XX,  50, NEQ,   92,   87,   75,   80,     ,     ,  24,
WP, 17, 2026081906, 03, FNV3, 192, 277N, 1284E,  82,  957, XX,  64, NEQ,   43,   40,   34,   36,     ,     ,  24,
